ID,Nombre,Direccion,Precio Gasolina Normal,Precio Gasolina Premium,Precio Diesel
2788,TRACIDIECHO S.A. DE C.V.,"Luis Donaldo Colosio 2068, El Paraíso Centro, 43680 Tulancingo de Bravo, Hgo.",20.95,22,22.65
2879,ESTACION SANTA MARIA EL PARAISO SA DE CV,"Luis Donaldo Colosio, El Paraíso, 43680 Tulancingo de Bravo, Hgo.",21.02,22.94,S/n
2921,SERVICIO LIBRAMIENTO LA JOYA S.A. DE C.V.,"San Francisco, San Francisco Huatengo, 43647 Tulancingo de Bravo, Hgo.",18.85,20.32,16.91
3244,ESTACION SANTA MARIA LA JOYA SA DE CV,"Lázaro Cárdenas 1408, San Francisco, San Francisco Huatengo, 43660 Tulancingo de Bravo, Hgo.",21.02,22.94,S/n
3456,ESTACION SANTA MARIA SA DE CV,"Miguel Hidalgo, San Nicolás El Grande, 43690 Tulancingo de Bravo, Hgo.",21.02,22.94,22.68
5708,"ACEITES Y COMBUSTIBLES LOS ANGELES, S.A. DE C.V.","Santa Ana, Tulancingo de Bravo, Hgo.",21.69,23.49,22.99
5752,"ACEITES Y COMBUSTIBLES LOS ANGELES, S.A. DE C.V.","Lázaro Cárdenas 901, Santa Ana, 43648 Tulancingo de Bravo, Hgo.",21.19,23.19,22.89
5951,MARIA DEL REFUGIO GARCIA MELLADO,"Gral. L Cárdenas 106, Centro, 43679 Centro, Hgo.",21.15,23.39,22.89
6445,ESTACION SANTA MARIA JARDINES SA DE CV,"Estrella, 43660 Tulancingo de Bravo, Hgo.",21.02,22.94,S/n
10707,PETREOS LAS GLORIAS S.A. DE C.V.,"Blvd. Bicentenario No. 200, Ferrocarrilera, 43600 Tulancingo de Bravo, Hgo.",21.99,23.99,S/n
12986,PETREOS SOL S.A. DE C.V.,"Calle San Luis Potosí, Blvd. Cto. Chapultepec, 43630 Tulancingo de Bravo, Hgo.",21.99,23.99,22.99
13163,AURELIO MARIN HUAZO,"Independencia 213, Centro 1er Cuadro, 43600 Tulancingo de Bravo, Hgo.",21.22,23.87,S/n
22326,ESTACION SANTA MARIA LA MORENA SA DE CV,"Blvrd E Zapata Numero 221, Álamos, 43640 Tulancingo de Bravo, Hgo.",21.02,22.94,22.68
25452,"COMPAÑIA DE SERVICIOS EL RISCO, S.A. DE C.V.","Clavel 1101, Santa Clara, 43669 Tulancingo de Bravo, Hgo.",21.59,23.49,S/n
